ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,6.8%,"6m,6m+",57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,3.9%,6m+,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,6.2%,"6m,6m+",38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,9.8%,"30d,3m,6m,6m+",45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,6.5%,6m+,37.3%,No
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,,,,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,7.5%,6m+,20.6%,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,7.6%,"3m,6m,6m+",59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,25.0%,6m+,70.4%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,4.4%,6m+,66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,2.4%,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,5.0%,"6m,6m+",38.6%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,4.9%,6m+,65.5%,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,,,,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,25.0%,6m+,51.0%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,5.3%,6m+,43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,2.3%,6m+,67.9%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,4.8%,6m+,78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,4.5%,6m+,58.8%,No
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,,,,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,4.1%,6m+,65.3%,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,1.1%,,,No
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,,,,No
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,Hard,,,,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,5.8%,6m+,44.7%,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,25.0%,6m+,38.0%,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,6.7%,6m+,44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,25.0%,6m+,48.3%,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,4.7%,6m+,64.1%,No
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,3.8%,6m+,65.4%,No
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,25.0%,6m+,59.0%,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,4.1%,6m+,42.4%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,11.8%,"30d,3m,6m,6m+",66.8%,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,4.2%,,42.4%,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,5.2%,6m,81.6%,No
47,Permutations II,https://leetcode.com/problems/permutations-ii/,Medium,1.9%,6m+,62.9%,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,25.0%,6m+,79.3%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,8.5%,"6m,6m+",72.2%,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,5.8%,6m+,38.2%,No
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,5.8%,6m+,74.9%,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,6.4%,6m+,53.0%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,6.3%,6m+,56.1%,No
55,Jump Game,https://leetcode.com/problems/jump-game/,Medium,4.2%,6m+,40.5%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,6.5%,"6m,6m+",51.1%,No
58,Length of Last Word,https://leetcode.com/problems/length-of-last-word/,Easy,,,,No
59,Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,Medium,25.0%,6m+,74.6%,No
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,Hard,,,,No
61,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,,,,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,5.5%,6m+,66.5%,No
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,25.0%,6m+,44.1%,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,8.4%,"30d,3m,6m,6m+",67.8%,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,1.6%,6m+,50.4%,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,4.2%,"6m,6m+",41.4%,No
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,37.5%,6m+,53.9%,No
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,4.5%,6m+,62.4%,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,5.6%,6m+,53.5%,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,25.0%,,69.1%,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,4.2%,,46.9%,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,25.0%,6m+,82.0%,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,5.0%,6m+,46.8%,No
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,50.0%,"6m,6m+",49.3%,No
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,5.2%,6m+,58.1%,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,4.0%,6m,54.4%,No
91,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,8.1%,"6m,6m+",37.6%,No
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,,,,No
93,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,3.6%,6m+,55.3%,No
97,Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,,,,No
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,25.0%,6m+,35.3%,No
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,Easy,3.2%,6m+,60.7%,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,1.5%,6m+,72.2%,No
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,3.9%,6m+,63.1%,No
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,,,,No
112,Path Sum,https://leetcode.com/problems/path-sum/,Easy,1.4%,6m+,54.4%,No
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Medium,,,,No
115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,,,,No
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,Easy,6.1%,6m+,78.7%,No
119,Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii/,Easy,37.5%,6m+,67.1%,No
120,Triangle,https://leetcode.com/problems/triangle/,Medium,3.8%,6m+,59.8%,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,8.3%,"6m,6m+",56.4%,No
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,7.0%,"6m,6m+",70.7%,No
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Hard,4.0%,6m+,53.1%,No
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,3.1%,6m+,42.0%,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,2.5%,6m+,52.8%,No
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,Hard,,,,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,25.0%,6m+,44.9%,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,3.6%,6m+,47.0%,No
130,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,Medium,25.0%,6m+,44.7%,No
132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii/,Hard,,,,No
134,Gas Station,https://leetcode.com/problems/gas-station/,Medium,62.5%,"3m,6m",47.5%,No
135,Candy,https://leetcode.com/problems/candy/,Hard,5.3%,6m+,47.9%,No
136,Single Number,https://leetcode.com/problems/single-number/,Easy,,,,No
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,,,,No
139,Word Break,https://leetcode.com/problems/word-break/,Medium,25.0%,6m+,49.1%,No
140,Word Break II,https://leetcode.com/problems/word-break-ii/,Hard,,,,No
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,5.7%,6m+,53.9%,No
143,Reorder List,https://leetcode.com/problems/reorder-list/,Medium,2.6%,6m+,64.6%,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,7.9%,"6m,6m+",46.8%,No
148,Sort List,https://leetcode.com/problems/sort-list/,Medium,,,,No
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard,,,,No
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,2.3%,6m+,57.0%,No
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,25.0%,,55.5%,No
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium,4.0%,6m+,36.0%,No
153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,7.2%,6m+,53.8%,No
154,Find Minimum in Rotated Sorted Array II,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,Hard,,,,No
155,Min Stack,https://leetcode.com/problems/min-stack/,Medium,,,,No
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy,5.0%,6m+,63.2%,No
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,3.9%,6m+,46.8%,No
166,Fraction to Recurring Decimal,https://leetcode.com/problems/fraction-to-recurring-decimal/,Medium,11.6%,"3m,6m,6m+",30.5%,No
169,Majority Element,https://leetcode.com/problems/majority-element/,Easy,25.0%,6m+,66.1%,No
171,Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,Easy,3.8%,6m+,67.2%,No
176,Second Highest Salary,https://leetcode.com/problems/second-highest-salary/,Medium,,,,No
188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Hard,6.0%,6m+,49.5%,No
189,Rotate Array,https://leetcode.com/problems/rotate-array/,Medium,,,,No
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,5.2%,6m+,52.9%,No
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,7.3%,"6m,6m+",63.8%,No
202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,,,,No
204,Count Primes,https://leetcode.com/problems/count-primes/,Medium,5.1%,6m+,35.7%,No
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,2.8%,6m+,48.0%,No
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,5.4%,6m+,80.2%,No
207,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,,,,No
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,25.0%,6m+,69.2%,No
209,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,Medium,9.0%,6m+,51.0%,No
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,3.8%,"6m,6m+",55.0%,No
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,6.9%,6m+,68.8%,No
218,The Skyline Problem,https://leetcode.com/problems/the-skyline-problem/,Hard,7.2%,"6m,6m+",45.0%,No
221,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,5.5%,6m+,50.0%,No
224,Basic Calculator,https://leetcode.com/problems/basic-calculator/,Hard,,,,No
225,Implement Stack using Queues,https://leetcode.com/problems/implement-stack-using-queues/,Easy,4.1%,6m+,69.3%,No
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/,Medium,25.0%,6m+,46.6%,No
231,Power of Two,https://leetcode.com/problems/power-of-two/,Easy,25.0%,6m+,49.8%,No
232,Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks/,Easy,,,,No
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,,,,No
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,7.7%,6m+,68.6%,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,5.9%,"6m,6m+",48.4%,No
240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/,Medium,25.0%,6m+,56.8%,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,,,,No
